yearm,K_ALEC,K_SPEC,K_SEC,K_PMEDEC,K_ALEH,K_SPEH,K_SEH,K_PMEDEH,K_ALESFH,K_SPESFH,K_SESFH,K_PMEDESFH,SEA_ALEC,SEA_SPEC,SEA_SEC,SEA_PMEDEC,SEA_ALEH,SEA_SPEH,SEA_SEH,SEA_PMEDEH,SEA_ALESFH,SEA_SPESFH,SEA_SESFH,SEA_PMEDESFH
Apr 1998,1299,NA,NA,NA,6378,NA,2570,NA,5079,NA,2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May 1998,1377,NA,NA,NA,6785,NA,2650,NA,5408,NA,2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jun 1998,1509,NA,NA,NA,7293,NA,2828,NA,5784,NA,2271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jul 1998,1525,NA,NA,NA,7656,NA,2841,NA,6131,NA,2339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 1998,1527,NA,NA,NA,7934,NA,2843,NA,6407,NA,2294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sep 1998,1516,NA,NA,NA,8079,NA,2691,194500,6563,NA,2123,212800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oct 1998,1546,NA,NA,NA,8031,NA,2364,198000,6485,NA,1886,215649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nov 1998,1582,NA,NA,NA,7498,NA,2216,202475,5916,NA,1786,219500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dec 1998,1379,NA,NA,NA,6268,NA,2400,204725,4889,NA,1958,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jan 1999,1350,NA,342,NA,6444,NA,1872,NA,5094,NA,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feb 1999,1319,NA,334,NA,6488,NA,1582,NA,5169,NA,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mar 1999,1439,NA,NA,NA,6632,NA,2519,209950,5193,NA,1974,228225,NA,NA,183,179950.54644808744,NA,NA,710,223136.1971830986,NA,NA,527,241834.9146110057
Apr 1999,1414,NA,NA,NA,6838,NA,2912,208975,5424,NA,2325,224000,NA,NA,196,171097.58163265305,NA,NA,808,221880.03712871287,NA,NA,612,241174.8366013072
May 1999,1420,NA,NA,NA,6870,NA,2802,214000,5450,NA,2232,229950,NA,NA,186,176319.67741935485,NA,NA,884,235920.814479638,NA,NA,698,258474.28366762176
Jun 1999,1527,NA,NA,NA,7333,NA,3020,218000,5806,NA,2423,235000,NA,NA,180,175642.77777777778,NA,NA,874,246536.04118993136,NA,NA,694,266538.6167146974
Jul 1999,1561,NA,548,NA,7646,NA,2882,223000,6085,NA,2334,242000,NA,NA,166,192094.2168674699,NA,NA,793,248637.53341740227,NA,NA,627,265070.7336523126
Aug 1999,1477,NA,667,NA,7775,NA,3257,219900,6278,NA,2590,233515,NA,NA,208,175595.24038461538,NA,NA,981,237798.72579001015,NA,NA,773,251144.24320827943
Sep 1999,1474,NA,516,144725,7631,NA,2514,223250,6157,NA,1998,243250,NA,NA,163,184763.49693251535,NA,NA,680,241086.91176470587,NA,NA,517,255533.5686653772
Oct 1999,1423,NA,517,NA,7485,NA,2287,224500,6062,NA,1770,242250,NA,NA,167,186400.11976047905,NA,NA,661,244718.30559757943,NA,NA,494,272674.08906882594
Nov 1999,1422,NA,550,NA,6907,NA,2569,220000,5485,NA,2019,235950,NA,NA,180,187916.30555555556,NA,NA,799,240767.83479349187,NA,NA,619,262703.3117932149
Dec 1999,1318,NA,544,NA,5859,NA,2429,220000,4541,NA,1885,234000,NA,NA,193,201876.5803108808,NA,NA,728,241261.93681318685,NA,NA,535,266832.51214953273
Jan 2000,1437,NA,380,168225,6383,NA,1625,222625,4946,NA,1245,236000,NA,NA,140,238827.57142857145,NA,NA,511,255306.55577299412,NA,NA,371,256001.75202156336
Feb 2000,1438,NA,384,151750,6666,NA,1682,225000,5228,NA,1298,240000,NA,NA,151,216750.38827838827,NA,NA,535,253603.68413649703,NA,NA,384,272021.88484470395
Mar 2000,1644,NA,603,157000,7092,NA,2605,232000,5448,NA,2002,254050,NA,NA,234,194673.20512820513,NA,NA,800,251900.8125,NA,NA,566,288042.01766784454
Apr 2000,1696,NA,536,155250,7511,NA,2480,229900,5815,NA,1944,246250,NA,NA,198,211126.0606060606,NA,NA,768,264713.2552083333,NA,NA,570,289415.9649122807
May 2000,1898,NA,586,154950,8495,NA,2756,237000,6597,NA,2170,256725,NA,NA,209,204874.4019138756,NA,NA,845,268548.81656804733,NA,NA,636,288548.9779874214
Jun 2000,2026,NA,551,154950,8921,NA,2692,234000,6895,NA,2141,258900,NA,NA,183,192539.6174863388,NA,NA,780,260123.46153846153,NA,NA,597,291798.40871021774
Jul 2000,1984,NA,505,158000,8903,NA,2526,235000,6919,NA,2021,250000,NA,NA,165,191404.24242424243,NA,NA,743,261697.4226110363,NA,NA,578,281290.29065743944
Aug 2000,1918,NA,779,159000,8762,NA,3631,225000,6844,NA,2852,244450,NA,NA,280,201893.57142857145,NA,NA,1081,245702.2664199815,NA,NA,801,259967.85268414483
Sep 2000,2071,NA,624,168220,9202,NA,2614,232250,7131,NA,1990,253875,NA,NA,199,203857.0351758794,NA,NA,733,254797.40791268757,NA,NA,534,281969.8501872659
Oct 2000,2141,NA,594,154688,8887,NA,2613,232500,6746,NA,2019,250000,NA,NA,187,189017.0588235294,NA,NA,768,260440.16927083337,NA,NA,581,285747.43545611016
Nov 2000,1973,NA,501,170000,8123,NA,2287,233000,6150,NA,1786,249302,NA,NA,162,202535.1851851852,NA,NA,656,266591.15853658534,NA,NA,494,289699.4170040486
Dec 2000,1768,NA,525,174950,6977,NA,2221,234000,5209,NA,1696,250950,NA,NA,168,202801.4880952381,NA,NA,656,259283.07926829267,NA,NA,488,277627.04918032786
Jan 2001,1987,NA,389,169950,7733,NA,1722,231725,5746,NA,1333,249950,NA,NA,118,188327.54237288135,NA,NA,469,254326.54584221749,NA,NA,351,271600.8547008547
Feb 2001,2114,NA,398,165975,8256,NA,1633,230000,6142,NA,1235,250000,NA,NA,133,190448.87218045112,NA,NA,482,252200.41493775937,NA,NA,349,278480
Mar 2001,2301,NA,665,169500,9077,NA,2972,235520,6776,NA,2307,254950,NA,NA,199,206785.32663316585,NA,NA,859,262077.2642607683,NA,NA,660,271217.19696969696
Apr 2001,2398,NA,613,173450,9870,NA,2613,244950,7472,NA,2000,264950,NA,NA,194,208774.23711340205,NA,NA,765,271765.8169934641,NA,NA,571,290957.880910683
May 2001,2568,NA,571,176608,10484,NA,2567,239950,7916,NA,1996,260000,NA,NA,183,212343.5300546448,NA,NA,754,273695.09283819626,NA,NA,571,297354.2031523643
Jun 2001,2629,NA,624,168500,10877,NA,2960,245000,8248,NA,2336,265500,NA,NA,174,210171.2643678161,NA,NA,837,270992.95101553167,NA,NA,663,286421.3423831071
Jul 2001,2521,NA,577,168850,10698,NA,2803,249950,8177,NA,2226,268725,NA,NA,169,190423.07692307697,NA,NA,782,277840.1534526854,NA,NA,613,301303.9967373573
Aug 2001,2540,NA,692,182225,10656,NA,2982,245000,8116,NA,2290,268725,NA,NA,264,202373.2196969697,NA,NA,904,262321.84734513273,NA,NA,640,297618.28125
Sep 2001,2668,NA,557,180000,11152,NA,2526,247975,8484,NA,1969,265000,NA,NA,204,222805.63725490196,NA,NA,777,276724.6460746461,NA,NA,573,304587.9581151832
Oct 2001,2732,NA,529,169950,11034,NA,2394,239000,8302,NA,1865,257000,NA,NA,144,199824.98611111112,NA,NA,689,277212.3657474601,NA,NA,545,289158.623853211
Nov 2001,2708,NA,392,172088,10818,NA,1819,247500,8110,NA,1427,265000,NA,NA,117,211847.86324786325,NA,NA,550,278600.2727272727,NA,NA,433,298264.7806004619
Dec 2001,2369,NA,457,169950,8711,NA,2009,243000,6342,NA,1552,265000,NA,NA,153,192124.41176470587,NA,NA,637,269976.4521193093,NA,NA,484,297398.96694214875
Jan 2002,2516,NA,527,170900,9282,NA,2260,238875,6766,NA,1733,260000,NA,NA,157,195204.07643312105,NA,NA,649,263884.20647149463,NA,NA,492,284725.81300813006
Feb 2002,2505,NA,404,169995,9430,NA,1753,245711,6925,NA,1349,272000,NA,NA,122,206681.5573770492,NA,NA,544,274108.45588235295,NA,NA,422,290199.17061611376
Mar 2002,2589,NA,566,176000,9635,NA,2541,250000,7046,NA,1975,271000,NA,NA,208,207572.11538461535,NA,NA,787,275386.7471410419,NA,NA,579,307051.46804835927
Apr 2002,2644,NA,529,176000,10283,NA,2498,258750,7639,NA,1969,281000,NA,NA,185,217633.64864864864,NA,NA,783,281391.44316730526,NA,NA,598,313931.9397993311
May 2002,2730,NA,710,169700,11034,NA,3105,250000,8304,NA,2395,277500,NA,NA,231,193498.91774891777,NA,NA,955,281365.96858638746,NA,NA,724,308685.3591160221
Jun 2002,2839,NA,572,179950,11515,NA,2701,265000,8676,NA,2129,290000,NA,NA,192,207430.98958333337,NA,NA,858,293974.358974359,NA,NA,666,318364.48948948947
Jul 2002,2828,NA,576,177500,11416,NA,2719,257000,8588,NA,2143,280000,NA,NA,179,211033.24022346368,NA,NA,768,286276.8229166667,NA,NA,589,312590.0679117148
Aug 2002,2771,NA,606,172725,11551,NA,2825,257000,8780,NA,2219,280000,NA,NA,194,201486.34020618556,NA,NA,834,285560.52757793764,NA,NA,640,311889.734375
Sep 2002,3028,NA,556,184000,12204,NA,2546,259000,9176,NA,1990,279950,NA,NA,215,211090.6976744186,NA,NA,752,286981.3829787234,NA,NA,537,313968.24953445065
Oct 2002,3033,NA,507,177000,11999,NA,2469,260000,8966,NA,1962,284465,NA,NA,180,205126.38888888888,NA,NA,784,289186.92602040817,NA,NA,604,316398.5099337748
Nov 2002,2879,NA,505,175000,11276,NA,2307,252000,8397,NA,1802,275000,NA,NA,167,205247.30538922155,NA,NA,673,286557.05794947996,NA,NA,504,311098.21428571426
Dec 2002,2365,NA,541,179750,9423,NA,2489,252753,7058,NA,1948,273725,NA,NA,196,212515.81632653065,NA,NA,748,282103.0962566845,NA,NA,552,301307.78985507245
Jan 2003,2790,NA,500,178500,10843,NA,2184,256000,8053,NA,1684,279000,NA,NA,188,217686.4361702128,NA,NA,614,288126.71009771986,NA,NA,426,312750.76056338026
Feb 2003,3006,NA,492,175000,11364,NA,2454,255490,8358,NA,1962,276950,NA,NA,154,200857.7922077922,NA,NA,706,273147.6628895184,NA,NA,552,297970.5615942029
Mar 2003,3090,NA,616,183475,11755,NA,2741,261000,8665,NA,2125,284000,NA,NA,204,216765.83333333337,NA,NA,805,302614.08695652173,NA,NA,601,322485.0249584027
